species,process,initial_charge,final_charge,charge_state,degree,n_features,ne_min,ne_max,Te_min,Te_max,Ti_min,Ti_max,n0_by_ne,intercept,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,r2_score,mae_percent,max_error_percent
Ar,charge_exchange,17,17,17,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,6.112039676041256,0.0,0.9997059509542408,-8.930939828586034e-08,0.4996081057198383,-6.1799072012518294e-09,-1.0153845293506629e-07,-1.7216131819425948e-07,1.3783363648074492e-07,-5.398089390572596e-08,5.774328445724225e-09,0.9999999999859466,4.694031095959775e-06,1.2130360997860444e-05
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1e-06,-22.592794281580066,0.0,-0.14137808033488533,-0.5965688827037117,-0.02952835558035337,0.008151513773766227,0.6544999478244117,0.0028339386153043524,0.35280082920532435,0.007519172801965012,0.060801983234271585,0.4469774004963697,2.5765408056774084e-08,2.7688235595146946e-06
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,9.999999999999999e-06,-22.582391676357805,0.0,-0.1411430098550546,-0.6111047756596023,-0.025244679867683334,0.008069387214315077,0.6696909643232982,0.003402521326833829,0.35083271959327933,0.008122549079801429,0.04835589050761108,0.44948055985986846,2.7252923291735112e-08,2.818110009548376e-06
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,9.999999999999999e-05,-22.47643995155562,0.0,-0.1345820223203314,-0.7568650742368402,0.022241964832683186,0.009918854291790109,0.8173713300569172,0.014157019439688395,0.3206259861836788,0.027063005747908823,-0.08563300103852066,0.47955423563223765,4.7646306996076865e-08,5.6958729664852156e-06
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.001,-21.72959994758771,0.0,-0.10627542062601411,-1.828475546598723,0.35594845818714804,0.013760104625818588,1.7685204334030842,0.06398683681820166,0.17394704325038357,0.09222613084920073,-0.9258517036032651,0.6674782121855696,1.601718075064248e-06,0.00035008732892714524
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.01,-19.115326946212143,0.0,-0.06826098343294827,-5.714459401001471,1.7012284584333073,0.017359557627773206,3.5241488460960126,0.30661729082905853,0.07777578066036026,0.1435522180403969,-2.7797432261323585,0.9481968088722617,0.0005678663431069163,0.22756035125314464
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.09999999999999999,-12.381834165241663,0.0,-0.002121218043561909,-6.212103619840648,5.055836954422913,-0.0021218726121011436,2.0006004264767876,-0.27571743647768726,0.0043873834461721,-0.019542073109860395,2.5076529790477604,0.9978850437299569,0.04642237245264081,5.81209202941992
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1.0,-4.823814186131351,0.0,-0.0015304240423496462,-2.509900675659602,2.853682603479403,-0.00047468453296192563,1.0902722800518074,-0.23666547052864143,-0.0004815672403838892,-0.012335125795397599,1.2046908975396595,0.9966148680428293,0.33395096036497823,6.934486484904035
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,10.0,-0.7122454208661537,0.0,-0.0027072203356772444,-1.0976892052415503,1.5188261454289296,0.0001180685532594435,0.6461764514896509,-0.08875129045778671,-0.0007108691002268472,-0.0005423989334294913,0.2983712046313416,0.9963103403606568,1.0628880682138309,7.179847101976811
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,100.0,1.9200544668156305,0.0,-0.0032527106717754246,-0.8310833298136784,1.1903617720419093,0.00022692979093977546,0.5532811302607754,-0.012548904929803524,0.0006217794635292803,0.0028313704154136502,0.0403953665997199,0.9932773386594863,0.798590945080143,3.5993014703166404
Ar,fZ,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1000.0,4.260238011926541,0.0,-0.003330446038290953,-0.8007660522582515,1.150588310179706,0.0002534680280960176,0.542304452074223,-0.0017196039702658077,0.0008342794460204023,0.0032340909448657757,0.008289299242768942,0.992363899398354,0.1337284069217359,0.8375308571579088
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1e-06,-20.148122623948993,0.0,-0.29088641089628586,-4.199382608817705,-0.06564294659235977,0.01566054183597047,3.7160581852404646,-0.02852144751796243,0.5048123878931065,0.10318211332676828,0.0940178754627457,0.8019405270235168,0.0001780376382403056,0.013197319054335114
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,9.999999999999999e-06,-20.124126608062305,0.0,-0.29229137536257266,-4.236660372149999,-0.04861391994520766,0.014983579669098792,3.7354445004876524,-0.026094304352766433,0.5049380722707333,0.10151323800252933,0.055836388011399556,0.8052445989131807,0.00018427522769555584,0.013308887939967614
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,9.999999999999999e-05,-19.931587464231455,0.0,-0.28794113119131776,-4.533227615959849,0.07573714475189174,0.014992314631217179,3.892600222039263,-0.009729109647065543,0.4767894631466189,0.113447213001179,-0.22336797414463697,0.8275159141792119,0.0002578079678728624,0.02072679131940608
